Group,Name,Acronym,SpecificationSourceURL,Category,ParentModel,SimilarModels,Maintainer,Format,Status,NamespaceURI,Year,Notes,CompositionalRole,DefaultLinkType
"Data, API & Serialization","Apache Thrift","Thrift","https://thrift.apache.org/docs/idl","Interface Definition Language","—","Protobuf, gRPC, Avro","Apache","IDL/binary","Open","thrift.apache.org","2007/2021","Cross-language RPC + serialization","R8","N/A"
"Data, API & Serialization","XML Schema Definition","XSD","https://www.w3.org/TR/xmlschema11-1/","Schema Language","—","RELAX NG, DTD, JSON Schema","W3C","XML","Recommendation","w3.org/2001/XMLSchema","2001/2012","XML structural/datatype validation","R8","EXTEND"
"Data, API & Serialization","RELAX NG","RELAX NG","https://relaxng.org/spec-20011203.html","Schema Language","—","XSD, DTD, Schematron","OASIS / ISO","XML/compact","Standard","relaxng.org/ns","2001/2008","ISO/IEC 19757-2; XML grammar schema","R8","EXTEND"
"Data, API & Serialization","Document Type Definition","DTD","https://www.w3.org/TR/xml/#dt-doctype","Schema Language","SGML","XSD, RELAX NG","W3C","spec","Recommendation","—","1998/2008","Legacy XML grammar (part of XML 1.0)","R8","EXTEND"
"Data, API & Serialization","JavaScript Object Notation","JSON","https://www.rfc-editor.org/rfc/rfc8259","Serialization Format","—","YAML, CBOR, MessagePack","IETF","text","Standard (RFC 8259)","—","2006/2017","Also ECMA-404; foundational data format","R8","N/A"
"Data, API & Serialization","YAML Ain't Markup Language","YAML","https://yaml.org/spec/1.2.2/","Serialization Format","—","JSON, TOML","YAML.org","text","Spec","yaml.org/spec","2001/2021","JSON superset; human-friendly config","R8","N/A"
"Data, API & Serialization","Tom's Obvious Minimal Language","TOML","https://toml.io/en/v1.0.0","Serialization Format","—","YAML, JSON, INI","TOML Project","text","Stable","toml.io","2013/2021","Config file format","R8","N/A"
"Data, API & Serialization","Comma-Separated Values","CSV","https://www.rfc-editor.org/rfc/rfc4180","Exchange Format","—","TSV, Table Schema","IETF","text","Informational (RFC 4180)","text/csv","2005","Tabular text interchange","R8","N/A"
"Data, API & Serialization","Apache Parquet","Parquet","https://parquet.apache.org/docs/file-format/","Serialization Format","—","ORC, Arrow, Avro","Apache","binary/columnar","Open","parquet.apache.org","2013/2024","Columnar on-disk storage; import candidate","R8","N/A"
"Data, API & Serialization","Apache Arrow","Arrow","https://arrow.apache.org/docs/format/Columnar.html","Serialization Format","—","Parquet, ORC, FlatBuffers","Apache","binary/columnar","Open","arrow.apache.org","2016/2024","In-memory columnar interchange format","R8","N/A"
"Data, API & Serialization","Optimized Row Columnar","ORC","https://orc.apache.org/specification/","Serialization Format","—","Parquet, Arrow","Apache","binary/columnar","Open","orc.apache.org","2013/2024","Columnar storage (Hive ecosystem)","R8","N/A"
"Data, API & Serialization","MessagePack","MessagePack","https://github.com/msgpack/msgpack/blob/master/spec.md","Serialization Format","—","CBOR, BSON, Protobuf","MessagePack Org","binary","Open","msgpack.org","2008/2021","Compact binary JSON-like format","R8","N/A"
"Data, API & Serialization","Concise Binary Object Representation","CBOR","https://www.rfc-editor.org/rfc/rfc8949","Serialization Format","JSON model","MessagePack, BSON","IETF","binary","Standard (RFC 8949)","—","2013/2020","Binary data model derived from JSON; STD 94","R8","N/A"
"Data, API & Serialization","Binary JSON","BSON","https://bsonspec.org/spec.html","Serialization Format","JSON model","MessagePack, CBOR","MongoDB","binary","Open","bsonspec.org","2009/2021","MongoDB binary JSON encoding","R8","N/A"
"Data, API & Serialization","FlatBuffers","FlatBuffers","https://flatbuffers.dev/","Serialization Format","—","Cap'n Proto, Protobuf","Google","binary/IDL","Open","flatbuffers.dev","2014/2024","Zero-copy serialization","R8","N/A"
"Data, API & Serialization","Cap'n Proto","Cap'n Proto","https://capnproto.org/language.html","Interface Definition Language","—","FlatBuffers, Protobuf","Sandstorm/Cap'n Proto","binary/IDL","Open","capnproto.org","2013/2023","Zero-copy + RPC serialization","R8","N/A"
"Data, API & Serialization","JSON:API","JSON:API","https://jsonapi.org/format/","API Description","JSON","HAL, OData, HATEOAS","JSON:API Org","JSON","Stable","jsonapi.org/format","2013/2022","Hypermedia JSON API convention","R8","N/A"
"Data, API & Serialization","Hypertext Application Language","HAL","https://datatracker.ietf.org/doc/html/draft-kelly-json-hal","API Description","JSON","JSON:API, Siren","M. Kelly (IETF I-D)","JSON/XML","Draft","—","2012/2016","Hypermedia link convention","R8","N/A"
"Data, API & Serialization","RESTful API Modeling Language","RAML","https://github.com/raml-org/raml-spec/blob/master/versions/raml-10/raml-10.md","API Description","YAML","OpenAPI, API Blueprint","RAML Workgroup","YAML","Spec (legacy)","raml.org","2013/2019","API design language (largely superseded by OpenAPI)","R8","N/A"
"Data, API & Serialization","Web Services Description Language","WSDL","https://www.w3.org/TR/wsdl20/","Interface Definition Language","XSD","OpenAPI, OData, gRPC","W3C","XML","Recommendation","w3.org/ns/wsdl","2001/2007","SOAP/web-service interface description","R8","N/A"
"Data, API & Serialization","Simple Object Access Protocol","SOAP","https://www.w3.org/TR/soap12-part1/","Exchange Format","XML","REST, gRPC, JSON-RPC","W3C","XML","Recommendation","w3.org/2003/05/soap-envelope","1999/2007","XML messaging protocol","R8","N/A"
"Data, API & Serialization","XSL Transformations","XSLT","https://www.w3.org/TR/xslt-30/","Schema Language","XPath","XQuery, JSONata","W3C","XML","Recommendation","w3.org/1999/XSL/Transform","1999/2017","XML transformation language","R8","N/A"
"Data, API & Serialization","XML Path Language","XPath","https://www.w3.org/TR/xpath-31/","Schema Language","—","JSONPath, XQuery","W3C","spec","Recommendation","—","1999/2017","XML node selection/expression language","R8","N/A"
"Data, API & Serialization","Frictionless Table Schema","Table Schema","https://specs.frictionlessdata.io/table-schema/","Schema Language","JSON","JSON Schema, CSVW","Open Knowledge Fdn","JSON","Spec","specs.frictionlessdata.io","2012/2024","Schema for tabular (CSV) data","R8","EXTEND"
"Data, API & Serialization","JSON Hyper-Schema","Hyper-Schema","https://json-schema.org/draft/2019-09/json-schema-hypermedia","Schema Language","JSON Schema","HAL, JSON:API","JSON Schema Org","JSON","Draft (paused)","json-schema.org/hyper-schema","2013/2019","Hypermedia vocabulary for JSON Schema","R8","EXTEND"
"Data, API & Serialization","CloudEvents","CloudEvents","https://github.com/cloudevents/spec/blob/v1.0.2/cloudevents/spec.md","Exchange Format","—","AsyncAPI, Avro, JSON","CNCF","JSON/proto/Avro","Standard","cloudevents.io","2018/2022","Event metadata envelope spec; import candidate","R6","COMPOSE"
"Data, API & Serialization","SQL Information Schema (ISO/IEC 9075)","SQL","https://www.iso.org/standard/76583.html","Schema Language","—","GraphQL, OData","ISO/IEC","spec","Standard","iso.org/std/9075","1987/2023","Relational query language + INFORMATION_SCHEMA metamodel","R8","N/A"
"Data, API & Serialization","Apache Iceberg","Iceberg","https://iceberg.apache.org/spec/","Serialization Format","Parquet/Avro/ORC","Delta Lake, Hudi","Apache","binary/metadata","Open","iceberg.apache.org","2017/2024","Open table format; metadata layer over Parquet; import candidate","R8","N/A"
"Data, API & Serialization","Delta Lake","Delta","https://github.com/delta-io/delta/blob/master/PROTOCOL.md","Serialization Format","Parquet","Iceberg, Hudi","Linux Foundation","binary/metadata","Open","delta.io","2019/2024","Open table format w/ transaction log over Parquet","R8","N/A"
"HR, Skills & Education","Occupational Information Network","O*NET","https://www.onetcenter.org/database.html","Ontology","—","ESCO, ISCO-08","U.S. DOL ETA","Database (text/SQL/Excel)","Active","—","1998 / 2024","US occupational descriptors w/ skills/abilities/tasks","R2","REFERENCE"
"HR, Skills & Education","European Skills, Competences, Qualifications and Occupations","ESCO","https://esco.ec.europa.eu/en/classification","Controlled Vocabulary","ISCO-08","O*NET, Lightcast Open Skills","European Commission DG EMPL","RDF / SKOS / CSV / JSON-LD","Active","http://data.europa.eu/esco/","2017 / 2022","Multilingual LOD skills+occupations; strong import candidate","R2","REFERENCE"
"HR, Skills & Education","International Standard Classification of Occupations 2008","ISCO-08","https://www.ilo.org/publications/international-standard-classification-occupations-2008-isco-08-structure","Code List","ISCO-88","SOC, NACE","International Labour Organization","Code list (PDF/CSV)","Active","—","2008","Global occupation code list underpinning ESCO","R2","REFERENCE"
"HR, Skills & Education","Credential Transparency Description Language","CTDL","https://credreg.net/ctdl/terms","Ontology","schema.org","ELM, CASE","Credential Engine","RDF / JSON-LD / Turtle","Active","https://credreg.net/ctdl/terms/","2016 / 2024","Linked-data schema for credentials/competencies; strong import candidate","R4","REFERENCE"
"HR, Skills & Education","CTDL Achievement Standards Network","CTDL-ASN","https://credreg.net/ctdlasn/terms","Ontology","CTDL","CASE","Credential Engine","RDF / JSON-LD","Active","https://credreg.net/ctdlasn/terms/","2016 / 2024","CTDL vocabulary for competency frameworks; import candidate","R2","REFERENCE"
"HR, Skills & Education","Lightcast Open Skills","Open Skills","https://lightcast.io/open-skills","Controlled Vocabulary","—","ESCO, O*NET","Lightcast (Emsi Burning Glass)","CSV / JSON / API","Active","—","2018 / 2024","Open library of 32k+ labour-market skills; import candidate","R2","REFERENCE"
"HR, Skills & Education","Skills Framework for the Information Age","SFIA","https://sfia-online.org/en/sfia-9","Framework","—","e-CF, NICE Framework","SFIA Foundation","PDF / spreadsheet / API","Active","—","2000 / 2024","Digital/IT professional skills-and-levels framework","R2","REFERENCE"
"HR, Skills & Education","Europass European Learning Model","ELM (EDCI)","https://github.com/european-commission-empl/European-Learning-Model","Application Profile","W3C VCDM","Open Badges, CLR","European Commission DG EMPL","XSD / JSON-LD / RDF","Active","http://data.europa.eu/snb/","2019 / 2023","EU learning/credential data model; VC-based, ESCO-aligned","R6","COMPOSE"
"HR, Skills & Education","Open Badges","OB 3.0","https://www.imsglobal.org/spec/ob/v3p0","Application Profile","W3C VCDM","CLR, ELM","1EdTech Consortium","JSON-LD","Active","https://purl.imsglobal.org/spec/ob/v3p0/context","2013 / 2024","Verifiable digital badge credentials aligned to W3C VC","R6","COMPOSE"
"HR, Skills & Education","Comprehensive Learner Record","CLR","https://www.imsglobal.org/spec/clr/v2p0","Application Profile","Open Badges","ELM, PESC eTranscript","1EdTech Consortium","JSON-LD","Active","https://purl.imsglobal.org/spec/clr/v2p0/context","2020 / 2023","Verifiable lifelong record of achievements/competencies","R6","COMPOSE"
"HR, Skills & Education","Verifiable Credentials (Education profile)","VC-EDU","https://www.w3.org/TR/vc-data-model-2.0/","Metamodel","—","Open Badges, ELM","W3C (VC WG; VC-EDU CG)","JSON-LD / data model","Active","https://www.w3.org/2018/credentials/v1","2019 / 2025","VC model that OB/CLR/ELM education profiles extend","R5","MIX-IN"
"HR, Skills & Education","Learning Tools Interoperability","LTI","https://www.imsglobal.org/spec/lti/v1p3","Protocol","OAuth 2.0 / OIDC","xAPI, Caliper","1EdTech Consortium","JSON / JWT / REST","Active","https://purl.imsglobal.org/spec/lti/","2010 / 2019","LMS-to-tool launch and services protocol","R8","N/A"
"HR, Skills & Education","Question and Test Interoperability","QTI","https://www.imsglobal.org/spec/qti/v3p0/oview","Exchange Format","APIP","SCORM, xAPI","1EdTech Consortium","XML","Active","—","2000 / 2022","Assessment item and test content interchange","R6","COMPOSE"
"HR, Skills & Education","Caliper Analytics","Caliper","https://www.imsglobal.org/spec/caliper/v1p2","Exchange Format","—","xAPI","1EdTech Consortium","JSON-LD","Active","http://purl.imsglobal.org/ctx/caliper/v1p2","2015 / 2020","Learning-event metric profiles and sensor API","R6","COMPOSE"
"HR, Skills & Education","Experience API","xAPI (Tin Can)","https://github.com/adlnet/xAPI-Spec","Exchange Format","SCORM","Caliper Analytics","Advanced Distributed Learning","JSON / REST","Active","http://adlnet.gov/expapi/","2013 / 2023","Actor-verb-object learning statements to an LRS","R6","COMPOSE"
"HR, Skills & Education","Sharable Content Object Reference Model","SCORM","https://adlnet.gov/projects/scorm/","Exchange Format","AICC / IMS CP","xAPI, cmi5","Advanced Distributed Learning","XML / ZIP package","Legacy","—","2000 / 2009","Legacy e-learning packaging+runtime; superseded by xAPI","R6","COMPOSE"
"HR, Skills & Education","Learning Resource Metadata Initiative","LRMI","https://www.dublincore.org/specifications/lrmi/","Application Profile","schema.org","CEDS, ELM","DCMI","RDF / schema.org markup","Active","http://purl.org/dcx/lrmi-terms/","2011 / 2020","schema.org extension for educational resources","R5","MIX-IN"
"HR, Skills & Education","Competencies and Academic Standards Exchange","CASE","https://www.imsglobal.org/spec/case/v1p1","Exchange Format","—","CTDL-ASN, CEDS","1EdTech Consortium","JSON / REST","Active","—","2017 / 2025","Machine-readable exchange of learning standards","R6","COMPOSE"
"HR, Skills & Education","PESC Standards","PESC","https://pesc.org/approved-standards/","Exchange Format","—","CLR, CEDS","Postsecondary Electronic Standards Council","XML / JSON-LD","Active","—","1997 / 2023","Postsecondary transcript and admissions interchange","R6","COMPOSE"
"HR, Skills & Education","Common Education Data Standards","CEDS","https://ceds.ed.gov/","Controlled Vocabulary","—","PESC, CASE","U.S. NCES / Dept. of Education","Data dictionary / XML / CSV","Active","—","2010 / 2024","Shared US K-20W data element dictionary","R2","REFERENCE"
"HR, Skills & Education","International Standard Classification of Education","ISCED","https://uis.unesco.org/en/topic/international-standard-classification-education-isced","Code List","ISCED-97","ISCO-08, EQF","UNESCO Institute for Statistics","Code list (PDF/CSV)","Active","—","2011","Global education-level/attainment code list","R2","REFERENCE"
"HR, Skills & Education","Workforce Framework for Cybersecurity","NICE Framework","https://csrc.nist.gov/pubs/sp/800/181/r1/final","Framework","—","SFIA, ESCO","NIST (NICE program)","PDF / data","Active","—","2017 / 2020","Cybersecurity work roles/tasks/knowledge/skills lexicon","R2","REFERENCE"
"HR, Skills & Education","schema.org JobPosting","JobPosting","https://schema.org/JobPosting","Vocabulary","schema.org","HR Open, ESCO","Schema.org / W3C CG","RDFa / Microdata / JSON-LD","Active","https://schema.org/JobPosting","2011 / 2024","Web-markup type for job listings (Google Jobs)","R4","REFERENCE"
"Identity, Security, Privacy & Governance","Decentralized Identifiers","DID","https://www.w3.org/TR/did-core/","Metamodel","RDF","Verifiable Credentials, X.509","W3C","URI / JSON-LD","W3C Recommendation","did: scheme","2022","Foundation for SSI identifiers; import candidate","R3","REFERENCE"
"Identity, Security, Privacy & Governance","Verifiable Credentials Data Model","VC","https://www.w3.org/TR/vc-data-model-2.0/","Metamodel","RDF","mDL, AnonCreds, X.509","W3C","JSON-LD / RDF","W3C Recommendation","https://www.w3.org/2018/credentials/v1","2025","Core SSI credential model; strong import candidate","R5","MIX-IN"
"Identity, Security, Privacy & Governance","OpenID Connect","OIDC","https://openid.net/specs/openid-connect-core-1_0.html","Protocol","OAuth 2.0","SAML, OpenID4VC","OpenID Foundation","JSON / JWT","Final","—","2014","Identity layer atop OAuth 2.0; ubiquitous SSO","R8","N/A"
"Identity, Security, Privacy & Governance","OAuth 2.0 Authorization Framework","OAuth","https://datatracker.ietf.org/doc/html/rfc6749","Protocol","—","SAML, OIDC","IETF","HTTP / JSON","RFC (Proposed Standard)","—","2012","Delegated-authorization framework","R8","N/A"
"Identity, Security, Privacy & Governance","Security Assertion Markup Language","SAML","https://docs.oasis-open.org/security/saml/v2.0/saml-core-2.0-os.pdf","Exchange Format","XML","OIDC, WS-Federation","OASIS","XML","OASIS Standard","urn:oasis:names:tc:SAML:2.0:assertion","2005","Legacy enterprise SSO/federation; XML assertions","R6","COMPOSE"
"Identity, Security, Privacy & Governance","System for Cross-domain Identity Management","SCIM","https://datatracker.ietf.org/doc/html/rfc7643","Schema Language","—","LDAP, SPML","IETF","JSON / HTTP","RFC (Proposed Standard)","urn:ietf:params:scim:schemas:core:2.0","2015","User/Group provisioning schema (RFC 7643/7644)","R8","EXTEND"
"Identity, Security, Privacy & Governance","X.509 Public Key Infrastructure","X.509","https://datatracker.ietf.org/doc/html/rfc5280","Schema Language","ASN.1","PGP, DID, VC","ITU-T / IETF PKIX","DER / ASN.1","RFC (Proposed Standard)","—","2008","Certificate format underpinning TLS and PKI","R8","N/A"
"Identity, Security, Privacy & Governance","JSON Object Signing and Encryption / JWT","JOSE/JWT","https://datatracker.ietf.org/doc/html/rfc7519","Exchange Format","JSON","CWT, X.509, PASETO","IETF","JSON","RFC (Proposed Standard)","—","2015","JWT/JWS/JWE/JWK token suite for OIDC/OAuth","R8","N/A"
"Identity, Security, Privacy & Governance","Web Authentication / FIDO2","WebAuthn","https://www.w3.org/TR/webauthn-3/","Protocol","CBOR","CTAP, Passkeys","W3C / FIDO Alliance","CBOR / JSON","W3C Recommendation","—","2021","Passwordless public-key authentication; passkeys","R8","N/A"
"Identity, Security, Privacy & Governance","Mobile Driving Licence","mDL","https://www.iso.org/standard/69084.html","Exchange Format","CBOR / COSE","VC, mdoc (ISO 23220)","ISO/IEC JTC 1","CBOR / COSE","ISO/IEC Standard","—","2021","ISO/IEC 18013-5 mdoc; offline credential presentation","R6","COMPOSE"
"Identity, Security, Privacy & Governance","Data Privacy Vocabulary","DPV","https://w3id.org/dpv/","Ontology","RDF","ODRL, GConsent, schema.org","W3C DPVCG","RDF / OWL","CG Final Report","https://w3id.org/dpv#","2024","GDPR-aligned privacy taxonomy; strong import candidate","R2","REFERENCE"
"Identity, Security, Privacy & Governance","eXtensible Access Control Markup Language","XACML","https://docs.oasis-open.org/xacml/3.0/xacml-3.0-core-spec-os-en.html","Schema Language","XML","ODRL, ALFA, OPA/Rego","OASIS","XML","OASIS Standard","urn:oasis:names:tc:xacml:3.0:core:schema","2013","Attribute-based access-control policy language","R5","MIX-IN"
"Identity, Security, Privacy & Governance","FHIR Consent","FHIR Consent","https://hl7.org/fhir/R4/consent.html","Application Profile","FHIR","DPV, ODRL","HL7","JSON / XML / RDF","HL7 Standard (Normative)","http://hl7.org/fhir","2019","Healthcare privacy-consent resource within FHIR","R6","COMPOSE"
"Identity, Security, Privacy & Governance","OpenID for Verifiable Credentials","OpenID4VC","https://openid.net/sg/openid4vc/","Protocol","OAuth 2.0","VC, mDL, OIDC","OpenID Foundation","JSON / JWT","Final (1.0)","—","2025","OpenID4VCI/OpenID4VP; EUDI-wallet basis","R8","N/A"
"Identity, Security, Privacy & Governance","ISO/IEC 27001 Controls","ISO 27001","https://www.iso.org/standard/27001","Controlled Vocabulary","—","NIST SP 800-53, CSF","ISO/IEC JTC 1","Prose / PDF","ISO/IEC Standard","—","2022","Annex A ISMS control catalogue","R2","REFERENCE"
"Identity, Security, Privacy & Governance","NIST Cybersecurity Framework","NIST CSF","https://www.nist.gov/cyberframework","Framework","—","ISO 27001, NIST SP 800-53","NIST","Prose / JSON","NIST Framework","—","2024","CSF 2.0 Govern/Identify/Protect/Detect/Respond/Recover","R2","REFERENCE"
"Identity, Security, Privacy & Governance","Open Security Controls Assessment Language","OSCAL","https://pages.nist.gov/OSCAL/","Schema Language","Metaschema","SCAP, SARIF","NIST","XML / JSON / YAML","NIST Standard (1.x)","http://csrc.nist.gov/ns/oscal/1.0","2021","Machine-readable control/assessment model; import candidate","R8","EXTEND"
"Identity, Security, Privacy & Governance","Structured Threat Information Expression","STIX","https://docs.oasis-open.org/cti/stix/v2.1/os/stix-v2.1-os.html","Ontology","JSON","MISP, OpenIOC","OASIS CTI TC","JSON","OASIS Standard","—","2021","CTI object/graph model; import candidate","R6","COMPOSE"
"Identity, Security, Privacy & Governance","Trusted Automated Exchange of Intelligence Information","TAXII","https://docs.oasis-open.org/cti/taxii/v2.1/os/taxii-v2.1-os.html","Protocol","HTTP","MISP API, EDXL","OASIS CTI TC","JSON / HTTP","OASIS Standard","—","2021","REST transport for STIX threat intelligence","R8","N/A"
"Identity, Security, Privacy & Governance","MITRE ATT&CK","ATT&CK","https://attack.mitre.org/","Controlled Vocabulary","—","CAPEC, D3FEND","MITRE","STIX / JSON","Living Knowledge Base","—","2015","Adversary tactics/techniques taxonomy; STIX-serialized","R2","REFERENCE"
"Identity, Security, Privacy & Governance","Common Vulnerabilities and Exposures","CVE","https://www.cve.org/","Code List","—","GHSA, OSV","MITRE / CVE Program","JSON","Living Registry","—","1999","Canonical vulnerability identifier list (CVE JSON 5.x)","R3","REFERENCE"
"Identity, Security, Privacy & Governance","Common Platform Enumeration","CPE","https://nvd.nist.gov/products/cpe","Controlled Vocabulary","—","PURL, SWID","NIST NVD","URI / Formatted String","NIST Standard (2.3)","—","2011","Structured product naming used in NVD/CVE","R2","REFERENCE"
"Identity, Security, Privacy & Governance","Common Weakness Enumeration","CWE","https://cwe.mitre.org/","Controlled Vocabulary","—","CAPEC, OWASP Top 10","MITRE","XML / JSON","Living Catalog","—","2006","Software/hardware weakness taxonomy linked from CVE","R2","REFERENCE"
"Identity, Security, Privacy & Governance","Key Management Interoperability Protocol","KMIP","https://docs.oasis-open.org/kmip/kmip-spec/v2.1/kmip-spec-v2.1.html","Protocol","TTLV","PKCS#11, KMS APIs","OASIS","TTLV / XML / JSON","OASIS Standard","—","2020","Vendor-neutral key-management protocol","R8","N/A"
"Identity, Security, Privacy & Governance","Sigstore","Sigstore","https://docs.sigstore.dev/","Framework","X.509","Notary v2, in-toto, SLSA","OpenSSF / Linux Foundation","JSON / Protobuf","OpenSSF Project","—","2021","Keyless signing for software supply chain","R8","N/A"
"Identity, Security, Privacy & Governance","schema.org Person","schema.org/Person","https://schema.org/Person","Vocabulary","RDF / RDFa","FOAF, vCard, DPV","W3C Schema.org CG","RDF / JSON-LD","Living Vocabulary","https://schema.org/","2011","Lightweight person vocabulary","R4","REFERENCE"
"Government, Legal & Civic","Popolo","Popolo","https://www.popoloproject.com/specs/","Vocabulary","—","Akoma Ntoso, W3C ORG","Open Government community","JSON / RDF","Stable","https://www.popoloproject.com/","2014","Models people, orgs, memberships, votes; import candidate","R4","REFERENCE"
"Government, Legal & Civic","Akoma Ntoso","AKN","https://docs.oasis-open.org/legaldocml/akn-core/v1.0/os/part1-vocabulary/akn-core-v1.0-os-part1-vocabulary.html","Exchange Format","—","LegalDocML, USLM","OASIS LegalDocML TC","XML","OASIS Standard","https://docs.oasis-open.org/legaldocml/ns/akn/3.0/","2018","XML vocabulary for legislative/judicial/parliamentary docs","R6","COMPOSE"
"Government, Legal & Civic","LegalDocML","LegalDocML","https://www.oasis-open.org/committees/tc_home.php?wg_abbrev=legaldocml","Schema Language","Akoma Ntoso","USLM, CEN MetaLex","OASIS LegalDocML TC","XML","OASIS Standard","https://docs.oasis-open.org/legaldocml/ns/akn/3.0/","2018","Standardizes Akoma Ntoso as legal-document XML","R8","EXTEND"
"Government, Legal & Civic","European Legislation Identifier","ELI","https://eur-lex.europa.eu/eli-register/about.html","Ontology","—","ECLI, Akoma Ntoso","Publications Office of the EU","RDF / URI Template","Stable (v1.5)","http://data.europa.eu/eli/ontology#","2012","URI scheme + ontology for legislation; import candidate","R3","REFERENCE"
"Government, Legal & Civic","European Case Law Identifier","ECLI","https://e-justice.europa.eu/175/EN/european_case_law_identifier_ecli","Code List","—","ELI","European Commission / Council EU","URI scheme","Stable","—","2011","Identifier + metadata for EU court decisions","R3","REFERENCE"
"Government, Legal & Civic","LegalRuleML","LegalRuleML","https://docs.oasis-open.org/legalruleml/legalruleml-core-spec/v1.0/os/legalruleml-core-spec-v1.0.html","Metamodel","RuleML","SBVR, Akoma Ntoso","OASIS LegalRuleML TC","XML / RDF","OASIS Standard","https://docs.oasis-open.org/legalruleml/","2021","Rule-interchange for legal norms, deontic logic","R5","MIX-IN"
"Government, Legal & Civic","Asset Description Metadata Schema","ADMS","https://www.w3.org/TR/vocab-adms/","Vocabulary","DCAT","DCAT-AP, VoID","W3C / SEMIC","RDF","W3C Note","http://www.w3.org/ns/adms#","2013","Describes semantic assets like vocabularies and code lists","R5","MIX-IN"
"Government, Legal & Civic","Core Person Vocabulary","Core Person","https://semiceu.github.io/Core-Person-Vocabulary/releases/2.00/","Vocabulary","—","FOAF, schema.org Person","SEMIC (European Commission)","RDF","Stable","http://www.w3.org/ns/person#","2012","Minimal person model for cross-border e-Gov; import candidate","R4","REFERENCE"
"Government, Legal & Civic","Core Business Vocabulary","Core Business","https://semiceu.github.io/Core-Business-Vocabulary/releases/2.00/","Vocabulary","—","W3C ORG, schema.org Organization","SEMIC (European Commission)","RDF","Stable","http://www.w3.org/ns/legal#","2012","Core model of a registered legal entity; import candidate","R4","REFERENCE"
"Government, Legal & Civic","Core Location Vocabulary","Core Location","https://semiceu.github.io/Core-Location-Vocabulary/releases/2.00/","Vocabulary","—","INSPIRE Addresses, schema.org PostalAddress","SEMIC (European Commission)","RDF","Stable","http://www.w3.org/ns/locn#","2012","Reusable address/geometry model under INSPIRE & DCAT-AP","R1","EMBED"
"Government, Legal & Civic","Core Public Service Vocabulary Application Profile","CPSV-AP","https://semiceu.github.io/CPSV-AP/releases/3.2.0/","Application Profile","CPSV","schema.org GovernmentService","SEMIC (European Commission)","RDF","SEMIC Rec (v3.2)","http://purl.org/vocab/cpsv#","2016","Describes public services and life events; import candidate","R4","REFERENCE"
"Government, Legal & Civic","Frictionless Data Package","Data Package","https://specs.frictionlessdata.io/","Schema Language","—","DCAT, CSVW","Open Knowledge Foundation","JSON","Stable (v2)","—","2017","Lightweight JSON dataset container + Table Schema","R8","EXTEND"
"Government, Legal & Civic","schema.org GovernmentService","GovernmentService","https://schema.org/GovernmentService","Vocabulary","schema.org","CPSV-AP","W3C Schema.org CG","RDFa / JSON-LD","Stable","https://schema.org/GovernmentService","2016","Web-publishing type for government services","R4","REFERENCE"
"Government, Legal & Civic","National Information Exchange Model","NIEM","https://docs.oasis-open.org/niemopen/niem-model/v6.0/niem-model-v6.0.html","Exchange Format","—","UBL, FHIR","OASIS NIEMOpen TC","XML / JSON","OASIS Standard (v6.0)","http://release.niem.gov/niem/","2024","Reference model for US cross-agency information exchange","R6","COMPOSE"
"Government, Legal & Civic","Open311 GeoReport","Open311","https://wiki.open311.org/GeoReport_v2/","Protocol","—","SeeClickFix API","Open311 community / OpenPlans","JSON / XML","Stable (v2)","—","2011","Open API for citizen 311 service requests","R8","N/A"
"Government, Legal & Civic","OParl","OParl","https://oparl.org/spezifikation/","Exchange Format","—","Popolo, RIS","OParl e.V.","JSON","Stable (v1.1)","https://schema.oparl.org/","2018","Uniform API for German municipal council systems","R8","N/A"
"Government, Legal & Civic","W3C Organization Ontology","ORG","https://www.w3.org/TR/vocab-org/","Ontology","—","Core Business Vocabulary, FOAF","W3C","RDF","W3C Recommendation","http://www.w3.org/ns/org#","2014","Ontology for org structures/roles/memberships; import candidate","R4","REFERENCE"
"Government, Legal & Civic","Core Criterion and Core Evidence Vocabulary","CCCEV","https://semiceu.github.io/CCCEV/releases/2.00/","Vocabulary","—","CPSV-AP, SHACL","SEMIC (European Commission)","RDF","Stable (v2.0)","http://data.europa.eu/m8g/","2017","Models requirements and the evidence satisfying them","R5","MIX-IN"
"Government, Legal & Civic","StatDCAT Application Profile","StatDCAT-AP","https://semiceu.github.io/StatDCAT-AP/releases/","Application Profile","DCAT-AP","GeoDCAT-AP, SDMX","SEMIC (European Commission)","RDF","Stable","http://data.europa.eu/m8g/stat/","2016","Extends DCAT-AP for statistical datasets","R6","COMPOSE"
"IoT, Devices & Digital Twins","Web of Things Thing Description","WoT TD","https://www.w3.org/TR/wot-thing-description11/","Ontology","JSON-LD","DTDL, AAS","W3C","JSON-LD","Recommendation (1.1)","https://www.w3.org/2019/wot/td#","2020/2023","JSON-LD affordance vocabulary; import candidate","R4","REFERENCE"
"IoT, Devices & Digital Twins","Web of Things Thing Model","WoT TM","https://www.w3.org/TR/wot-thing-description11/#thing-model","Metamodel","WoT TD","DTDL Interface","W3C","JSON-LD","Recommendation","https://www.w3.org/2019/wot/td#","2023","Template/class for TD instances","R4","REFERENCE"
